,X,Y,Z,W,X.1,Y.1,Z.1,Frame number
272,0.584919,0.654686,0.397854,-0.2664,-1.026695,0.413439,1.089525,1966
273,0.584876,0.654259,0.398395,-0.266734,-1.026697,0.413422,1.089532,1966
274,0.584809,0.654281,0.398474,-0.266709,-1.026694,0.41342,1.089532,1966
275,0.584726,0.653831,0.399056,-0.267124,-1.026715,0.413404,1.089523,1966
276,0.584924,0.655083,0.397413,-0.266069,-1.026676,0.413451,1.089531,1966
277,0.584934,0.654432,0.398093,-0.266632,-1.026698,0.413433,1.089513,1966
278,0.585014,0.655366,0.397081,-0.265671,-1.026682,0.413478,1.089561,2000
279,0.58482,0.654558,0.398147,-0.266492,-1.026703,0.413424,1.089531,2000
280,0.584812,0.654219,0.398538,-0.266758,-1.02672,0.413418,1.089514,2000
281,0.584979,0.654982,0.397445,-0.26615,-1.026692,0.413453,1.089524,2000
282,0.584742,0.653771,0.399101,-0.267166,-1.026717,0.413405,1.089511,2000
283,0.584783,0.654616,0.398095,-0.266508,-1.026699,0.413415,1.089519,2000
284,0.584893,0.654236,0.39835,-0.266818,-1.02669,0.413419,1.089503,2033
285,0.584925,0.654886,0.397612,-0.266253,-1.026696,0.413434,1.089509,2033
286,0.584819,0.654011,0.398652,-0.267082,-1.02671,0.413413,1.089488,2033
287,0.584687,0.653633,0.399263,-0.267383,-1.026712,0.413395,1.089511,2033
288,0.584942,0.654766,0.397706,-0.266372,-1.02669,0.413448,1.08953,2033
289,0.584716,0.654299,0.398506,-0.26682,-1.026704,0.413416,1.089524,2033
290,0.584902,0.654714,0.397752,-0.266519,-1.02669,0.413456,1.089516,2033
291,0.584858,0.655017,0.397591,-0.266112,-1.026683,0.413453,1.089541,2066
292,0.584883,0.654937,0.397641,-0.266178,-1.026693,0.413449,1.089548,2066
293,0.584875,0.654743,0.397899,-0.266285,-1.026698,0.413448,1.089546,2066
294,0.584713,0.653803,0.398967,-0.267354,-1.026721,0.413426,1.089484,2066
295,0.58479,0.654199,0.398538,-0.266855,-1.026707,0.413428,1.089526,2066
296,0.584966,0.655799,0.396631,-0.26538,-1.026682,0.413488,1.089563,2066
